yomi	candidate	freq	left_connection_id	right_connection_id
ずく	ずく	31	201	39
ずくめ	ずくめ	0	201	123
ずして	ずして	0	58	206
ずじまい	ずじまい	0	58	39
ずつ	ずつ	0	108	239
ずもがな	ずもがな	0	58	39
ずる	ずる	0	239	161
ずれ	ずれ	0	239	144
ずんば	ずんば	0	58	215
せ	せ	0	59	97
せ	せ	0	235	116
せ	せ	0	236	116
せ	せ	0	237	116
せ	せ	0	244	141
せよ	せよ	0	235	171
せよ	せよ	0	236	171
せよ	せよ	0	237	171
せよ	せよ	0	238	171
ぜ	ぜ	0	169	270
ぜ	ぜ	0	239	117
ぜぇ	ぜぇ	0	169	294
ぜみ	ぜみ	31	201	39
ぜよ	ぜよ	0	239	171
そ	そ	0	244	166
そう	そう	0	17	187
そう	そう	0	19	188
そろい	そろい	63	201	39
そろえ	そろえ	63	201	39
ぞ	ぞ	0	169	270
ぞぅ	ぞぅ	0	169	294
ぞぉ	ぞぉ	0	169	294
ぞろい	ぞろい	15	201	39
ぞろえ	ぞろえ	15	201	39
た	た	0	31	189
た	た	0	60	151
た	た	0	245	165
たげ	たげ	0	60	95
たち	たち	111	203	43
たち	たち	95	201	39
たって	たって	0	113	208
たて	たて	0	49	39
ため	ため	0	89	284
たら	たら	0	10	139
たら	たら	0	60	133
たらず	たらず	0	201	123
たり	たり	0	10	143
たり	たり	0	60	202
たる	たる	0	10	142
たれ	たれ	0	10	140
たろ	たろ	0	60	167
だ	だ	95	14	131
だ	だ	0	5	131
だ	だ	0	18	132
だ	だ	0	22	131
だ	だ	0	61	151
だぁ	だぁ	0	14	294
だけ	だけ	0	110	243
だげ	だげ	0	14	95
だたき	だたき	0	201	39
だっ	だっ	0	5	168
だっ	だっ	0	14	168
だっ	だっ	0	22	168
だなんて	だなんて	0	16	236
だの	だの	0	111	248
だら	だら	0	61	133
だらけ	だらけ	63	201	39
だり	だり	0	61	202
だろ	だろ	0	5	167
だろ	だろ	0	15	167
だろ	だろ	0	22	167
だろ	だろ	0	61	167
だんす	だんす	206	201	39
ち	ち	0	245	162
ち	ち	0	245	169
ちまっ	ちまっ	0	63	164
ちゃ	ちゃ	0	43	93
ちゃ	ちゃ	0	109	278
ちゃん	ちゃん	126	204	44
ちゃんたら	ちゃんたら	15	204	209
ちゃんち	ちゃんち	15	204	37
ちゃんてば	ちゃんてば	15	204	215
ちゃんとこ	ちゃんとこ	15	204	286
ちゃんところ	ちゃんところ	15	204	286
ちょうだい	ちょうだい	0	66	106
っ	っ	0	40	164
っ	っ	0	51	275
っ	っ	0	240	164
っ	っ	0	241	164
っ	っ	0	245	164
っ	っ	0	249	164
っ	っ	0	250	164
っか	っか	0	51	230
っきり	っきり	0	53	287
っきり	っきり	0	97	240
っけ	っけ	0	100	279
っこな	っこな	0	45	190
っしょ	っしょ	0	74	166
っす	っす	0	72	138
ったって	ったって	0	114	208
ったら	ったら	0	115	209
って	って	0	116	213
っての	っての	0	116	196
っと	っと	0	51	275
っぱ	っぱ	0	48	291
っぱなし	っぱなし	0	48	291
っぽ	っぽ	0	38	79
っぽかない	っぽかない	0	38	155
っぽきゃ	っぽきゃ	0	38	215
っぽさ	っぽさ	0	38	282
つ	つ	0	245	161
つかい	つかい	111	201	39
つかれ	つかれ	126	201	39
つけ	つけ	15	49	39
つつ	つつ	0	112	203
つもり	つもり	0	89	289
づかい	づかい	63	201	39
づかれ	づかれ	0	201	39
づき	づき	15	201	39
づきあい	づきあい	0	201	39
づくし	づくし	63	201	39
づくり	づくり	47	201	101
づくり	づくり	15	201	39
づけ	づけ	0	201	39
づたい	づたい	15	201	39
づつ	づつ	0	108	239
づら	づら	31	45	76
づらげ	づらげ	0	45	122
て	て	0	63	180
